# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	3096
#@/user_id	xiaoyi-sp9
a 	啊	c=8 d=1.17034 t=3096
cong lai 	從來	c=1 d=0.666977 t=3096
cong xiao 	從小	c=1 d=0.379083 t=3096
cun chu 	存儲	c=1 d=0.585669 t=3096
cun zai 	存在	c=1 d=0.527292 t=3096
cuo 	挫	c=1 d=0.00927901 t=3096
cuo guo 	錯過	c=1 d=0.064894 t=3096
da 	大	c=9 d=1.61959 t=3096
da 	打	c=4 d=0.910686 t=3096
da fa 	打法	c=1 d=0.180866 t=3096
da fa 	打發	c=1 d=0.181772 t=3096
da feng 	大風	c=1 d=0.0880368 t=3096
da fu da gui 	大富大貴	c=1 d=0.126818 t=3096
da kai 	打開	c=1 d=0.00491728 t=3096
da li 	大力	c=1 d=0.0531307 t=3096
da qi ye 	大企業	c=2 d=0.517187 t=3096
da qun 	大羣	c=2 d=0.197555 t=3096
da yu 	大雨	c=2 d=0.170923 t=3096
da zhong 	大衆	c=1 d=0.0658748 t=3096
dai 	代	c=2 d=0.0164224 t=3096
dai 	呆	c=1 d=0.144424 t=3096
dai 	帶	c=3 d=0.910043 t=3096
dai 	袋	c=0 d=0.0305746 t=3096
dai dong 	帶動	c=1 d=0.231078 t=3096
dai ma 	代碼	c=2 d=0.79918 t=3096
dai ti 	代替	c=1 d=0.0378169 t=3096
dai zhe 	呆着	c=1 d=0.0424257 t=3096
dai zhe 	帶着	c=1 d=0.203926 t=3096
dan 	單	c=1 d=0.548812 t=3096
dan chun 	單純	c=2 d=0.0391028 t=3096
dan fang mian 	單方面	c=1 d=0.414783 t=3096
dan shen 	單身	c=1 d=0.130029 t=3096
dan shi 	但是	c=23 d=4.26044 t=3096
dan wu 	耽誤	c=1 d=0.0608101 t=3096
dang 	當	c=2 d=0.0449436 t=3096
dang cheng 	當成	c=1 d=0.891366 t=3096
dang nian 	當年	c=2 d=0.316637 t=3096
dang ran 	當然	c=2 d=0.696012 t=3096
dang shi 	當時	c=4 d=0.921425 t=3096
dang zhong 	當中	c=1 d=0.177284 t=3096
dao 	到	c=11 d=1.97385 t=3096
dao li 	道理	c=1 d=0.416862 t=3096
dao shi 	倒是	c=4 d=0.460258 t=3096
dao xian zai 	到現在	c=1 d=0.0357931 t=3096
de 	得	c=1 d=0.697676 t=3096
de 	的	c=225 d=16.7597 t=3096
de hen 	得很	c=1 d=0.995012 t=3096
deng 	等	c=4 d=1.02561 t=3096
deng dai 	等待	c=2 d=0.90684 t=3096
